CreatedAt,Text,SentimentPct,Location,ImageUrl
03/01/2020 17:52:53,"Bernie refuses to call off his dogs, the supporters and the campaign. Enough is enough. #VoteJoe to restore dignity to the Whit House and our country. #California #CaliforniaPrimary #CaliforniaForBiden #JoeBiden https://t.co/Zci766yqOE",0.6045858,"California, USA",
03/01/2020 17:37:21,Make calls and donate for California! #teamjoe #biden2020 #bidenbounceback #supertuesday #CaliforniaPrimary https://t.co/DSjojU4zA6,0.9510025,California,
03/01/2020 17:36:14,"@janemarielynch @JoeBiden Wonderful--thank you! Me too. Hoping the #JoeMentum continues. C'mon, #CaliforniaPrimary--let's go with Joe!",0.9571037,Southern California,
03/01/2020 17:30:32,"As #Democrats scramble to elect anyone but #BernieSanders, the Democratic socialist looks poised to sweep California. #2020election #BernieSanders #CaliforniaPrimary #Campaign #Delegates #Democrats #ElizabethWarren #JoeBiden #MichaelBloomberg #politics… https://t.co/2eSzHw95Fq",0.81622404,"Phoenix, AZ",
03/01/2020 17:28:59,@Georgians4Biden @Deemoney521 @JoeBiden You have my vote in California! #Biden2020 #BidenbeatsTrump #CaliforniaPrimary,0.9815661,,
03/01/2020 17:23:50,"Bernie is easier on the Russians than he 8s on the Democratic Party. Enough of his bullshit. We need a serious candidate, a serious leader. Bernie is about grievance, not about people. #VoteJoeBiden #SuperTuesday #California #CaliforniaPrimary #RidinWithBiden #JoeMentum https://t.co/5G7vV6FmdS",0.96486366,"California, USA",
03/01/2020 17:15:52,"@cmarinucci @BernieSanders @JoeBiden I think Biden only has 1 (unstaffed) campaign office in the whole state of California vs Bloomberg’s 20 (with 300 staff), but I think he can staff it today and catch up in 2 days! Realistically, it’ll be super easy! I’m staking all my hopes on it!

#CaliforniaPrimary #Biden2020",0.61463225,,
03/01/2020 17:13:33,Make calls for Joe in California! #BidenBounceback #CaliforniaPrimary #Biden2020 #teamjoe https://t.co/wMgbHEkOjt,0.9645293,California,
03/01/2020 17:04:56,"#CaliforniaPrimary #TexasPrimary voters, the #SCPrimary voters didn’t let Trump and the #Republicans pick their candidate @BernieSanders whom they feel Trump can beat! So don’t let the @gop choose yours either! #VoteJoeBiden #RidenWithBiden #Biden2020 #BidenHarris2020 https://t.co/FAN3WuwkCt",0.91318214,"Whittier, Ca.",
03/01/2020 16:59:56,@CristobalJAlex @Deemoney521 @JoeBiden Booyah 💙 #CaliforniaPrimary #Biden2020 https://t.co/PhEnjkfPvm,0.2272901,,https://pbs.twimg.com/media/ESCfTpwVAAA01Ib.jpg
03/01/2020 16:50:46,"@Visualchick28 @norm_dagaire @MalcolmNance #CaliforniaPrimary #CAPrimary #Cali #WestSide #WestCoast #SF #BayArea #LosAngeles #Sacramento to #SanJose and #Oakland #SanDiego and back. We make up most of the 🇺🇸 GDP. I can tell you right now, it’ll be rich white liberals and college kids for Bernie. All else for #Biden2020 https://t.co/VXIQOeNkLR",0.88799477,"Antioch, CA",https://pbs.twimg.com/media/ESCdNO5U0AAEkeY.jpg
03/01/2020 16:34:40,"Combined with the fact that I'm voting in the #CaliforniaPrimary and it's looking like Sanders will win big here, I'd rather see Biden be viable as opposed to being shut out. #JoeBiden2020 #JoeBiden #CaliforniaForBiden #RidinWithBiden https://t.co/jjOaSTkTd7",0.07780347,"California, USA",https://pbs.twimg.com/media/ESCZgxbXkAA1fI1.jpg
03/01/2020 15:37:03,#CaliforniaPrimary #californiaforall #OrangeCounty #SANBERNARDINO #Riverside #elcentro #SanDiego #SanFranciscoBayArea #LosAngeles #gunsense #TimesUp #SundayThoughts #Primary2020 #California #Bloomberg #Biden2020 https://t.co/u9ULTIwNqO,0.34930286,Crime-ridden Motel 6 is owned by Trump advisor/Kushner financier Steve Schwarzman. It's not #PetFriendly. It's deadly,
03/01/2020 15:20:18,"Biden's surprise ray of hope in California @TeamJoe 

https://t.co/FR0IDKbxWc

#CaliforniaPrimary 
#Cali4Joe
#JoeMentum 
#BidenBounceback 
#Democrats2020
#DropOutBernie",0.8181786,United States,
03/01/2020 15:04:10,"SAY HELL NO AMERICA
#VoteDemsOut #KAG 
#VoteRedToSaveAmerica 
HOW DARE YOU #Democrats 
#DemocraticPrimary #BernieSanders2020  #Warren2020 #Buttigieg 
#Biden2020 #BidenHarris2020 
#CaliforniaPrimary #California #LAisPoophole
#VoteBlueNoMatterWho 
#VoteRed2020 
@realDonaldTrump https://t.co/37LDP2tM0O",0.31704208,"Monrovia, Ca",
03/01/2020 15:02:43,"I am this voter. We used to be called “yellow dog Democrats.” Perfect Democrat? Hih propensity voter? Whatever, I’m voting #Biden2020 in the #CaliforniaPrimary https://t.co/dSdvnCedhz",0.790965,,
03/01/2020 13:56:04,Joe: Call Kamala -An interesting possibility to consider on the eve of the California Primary. #CaliforniaPrimary #JoeBiden #KamalaHarris  https://t.co/XIIIfNvIsC,0.5681217,"Hudson Valley, NY",
03/01/2020 13:33:32,"@JacquiResists I haven't dropped off or mailed my ballot in yet, however, I, too, decided to vote 4 Biden. Only made my decision officially today. Think he had a great week and a great primary yesterday. #Biden2020 #BidenBounceback #BidenForPresident #SuperTuesday #CaliforniaPrimary #March3rd",0.95928735,"California, USA",
03/01/2020 12:34:29,This is a #Democrat run city. They would like all of #America to look like this ! #CaliforniaPrimary #VeteransForBernie #Veterans #CNN #MSNBC #FoxandFriends #AdamSchiff #BlackTwitter #JoeBiden https://t.co/u3hbTH10KK,0.15778187,THE BURGH!,
03/01/2020 08:24:20,I voted for #Biden2020 in #CaliforniaPrimary. https://t.co/wLZKaewE1A,0.055542048,,
03/01/2020 04:35:02,@BernieSanders @TomSteyer #Breaking_News #BernieSanders reveals his economic plan video.#SCprimary2020 #SouthCarolinaPrimary #CoronaVirusUpdate #WATLIV #HumanRightsRefugee #HBDtoWONHO #AfghanPeaceProcess #Biden2020 #WalkAwayFromDemocrats #WalkAway #Trump #KAG #KAG2020 #MAGA #CaliforniaPrimary #Venezuela https://t.co/xn459WIi5f,0.8702741,"Brooklyn, NY",https://pbs.twimg.com/ext_tw_video_thumb/1233973979557302272/pu/img/8RgdpyGQz_r8GQ5r.jpg
03/01/2020 04:27:35,"@kenolin1 @TomSteyer @JoeBiden Just mailed in my ballot. Where I like Warren, she isn’t getting the traction needed and Biden just proved he can get the vote. I voted for @JoeBiden #Democrats2020 #DemPrimary #Biden2020 #JoeBiden #JoeBiden2020 #CaliforniaPrimary #BidenHarris2020",0.13991246,"California, USA",
03/01/2020 03:47:47,"@DemWrite @joncoopertweets The next 24hrs would work,
esp bc the #CaliforniaPrimary is around the corner. Many of us  know Biden will highly likely be choosing a Black female as his Vice President #BidenHarris2020 
would motivate! #Biden2020 
#KamalaHarris is from #California",0.541874,"California, USA",
03/01/2020 03:27:31,"In some states, campaign staffers/door-knockers can now collect voters' ballots &amp; take them to the polling place. #CaliforniaPrimary is one of them. In #CA &amp; want to know if your ballot's been counted? Check here! 🇺🇸💚 #BayArea  https://t.co/DD8xg87otj #BidenBounceback #Biden2020",0.46741802,Northern California,
03/01/2020 02:51:53,We need to get Joe Biden to at least to 15% in California man!!! #GoJoe!!! #Biden2020 #CaliforniaPrimary let go California!!!! @TomSteyer ??😁,0.30729225,United States,
03/01/2020 02:50:51,We need to get Joe Biden to at least to 15% in California man!!! #GoJoe!!! #Biden2020 #CaliforniaPrimary let go California!!!!,0.49161145,United States,
03/01/2020 02:48:40,"After Tonight's #SouthCarolinaPrimary , Who Do You Think Will Win Big On #SuperTuesday ?

--- Please vote and #retweet for bigger sample ---

#Biden2020 #Bernie2020 #Bloomberg2020 #Warren2020 #CaliforniaPrimary #TexasPrimary",0.2754327,"Los Angeles, CA",
03/01/2020 02:45:01,"#GoJoe #CaliforniaPrimary 
@JoeBiden #TeamJoe 
#JoeBiden2020 https://t.co/USqojdCwlX",0.8433993,"Rancho Mirage, Ca",
03/01/2020 02:35:30,"@JoeBiden is now the leader in popular votes!

✨💙#votelikeablackwoman 💙✨

#CaliforniaPrimary #BidenbeatsTrump #BidenBounceback #Biden2020 https://t.co/7iQMP4jlQU",0.81077236,OZ,https://pbs.twimg.com/media/ER_ZcQOWoAALrHi.jpg
03/01/2020 02:35:18,"@KamalaHarris it’s time to put your support behind @JoeBiden ! We need someone who knows how to get things done. We need a true blue leader to help the @TheDemocrats keep the house, win the senate, and take back the WH #JoeBiden #BlueWave #SouthCarolinaPrimary #CaliforniaPrimary",0.07226819,,
03/01/2020 01:59:23,"Which is why I want JOE!!!

#JoeBidenForPresident2020 #Biden2020 #Biden #BidenBounceback #BidenbeatsTrump #BidenForPresident #JoeBiden #JoeBiden2020 #Democrats #DemocraticPrimary #Primary2020 #RidinWithBiden #TeamJoe #TeamBiden #Vote #SuperTuesday #CaliforniaPrimary #TexasPrimary https://t.co/tKs3puU7OU",0.8764474,,
03/01/2020 01:52:08,Congratulations to @JoeBiden #Biden2020 #BidenBounceback #CaliforniaPrimary #TexasPrimary #SuperTuesday #SouthCarolinaPrimary #SCprimary2020 #BidenHarris2020,0.7771078,Elysium,
03/01/2020 01:26:03,"@ToddGloria @KamalaHarris @KamalaHarris Please endorse
Joe Biden. We can use your help with the #CaliforniaPrimary 🇺🇸
#SouthCarolinaPrimary #BidenBounceback #Biden2020",0.8131809,"California, USA",
03/01/2020 01:15:04,"@trexmarshall @JoeNBC Not necessarily 
Feinstein won
DeLeon did not
Older voters do not like Bernie 
#JoeBiden 
#CaliforniaPrimary 
@votolatino 
Please vote for who wanted the 2007 immigration reform bill Joe Biden not who voted NO on it Bernie https://t.co/Pptce6THgI",9.401591E-06,,https://pbs.twimg.com/media/ER_HCmSU0AIdygB.jpg
03/01/2020 01:06:53,@electroboyusa @LillianOrlando4 @MikeBloomberg @JoeBiden Yes! And we need to unite behind #Biden2020 NOW. Cause we can plainly see #Bernie2020 will lose. So don’t waste ANY votes on #Bloomberg #Buttigieg #Klobuchar etc folks! Looking at you #CaliforniaPrimary #TexasPrimary etc!!!   PS They shd all drop out! NOW.,0.004355036,"Brooklyn, NY",
03/01/2020 01:05:36,@peterdaou Ok we need to unite behind #Biden2020 NOW. Cause we can plainly see #Bernie2020 will lose. So don’t waste ANY votes on #Bloomberg #Buttigieg #Klobuchar etc folks! Looking at you #CaliforniaPrimary #TexasPrimary etc!!!   They shd all drop out! NOW.,0.0009931428,"Brooklyn, NY",
03/01/2020 01:03:20,@Canadiancentri2 He’s totally the guy! And we need to unite behind #Biden2020 NOW. Cause we can plainly see #Bernie2020 will lose. So don’t waste ANY votes on #Bloomberg #Buttigieg #Klobuchar etc folks! Looking at you #CaliforniaPrimary #TexasPrimary etc!!!   They shd all drop out! NOW.,0.00730086,"Brooklyn, NY",
03/01/2020 00:41:16,https://t.co/f2MI8Z0pWU  #CaliforniaPrimary #TexasPrimary  #VirginiaForBiden #Alabama #JoeBidenForPresident2020 #Joebiden #SCprimary2020,0.58859754,,
03/01/2020 00:37:39,"Hey California, remember this song when you go to the polls! 🗳 @JoeBiden 🥊 @MSNBC @CNN #JoeBiden  #JoeBiden2020 #CaliforniaPrimary #California # #AnaheimCalifornia #AfricanAmericans #LosAngelesCalifornia #SanFranciscoCalifornia #BeverlyHillsCalifornia #SuperTuesday Retweet https://t.co/f2VxMmAHNX",0.942416,United States,https://pbs.twimg.com/ext_tw_video_thumb/1233914046207995904/pu/img/WFtGenKWEunb57r2.jpg
03/01/2020 00:34:51,"@EdanClay Yes! Yes! C’mon #California 😎
Go for Joe! Bernie can’t beat 
Trump—#JoeBiden CAN! 🇺🇸❤️
#SiSePuede #CaliforniaPrimary",0.89826846,"California, USA",
03/01/2020 00:30:51,"Proud to cast my #CaliforniaPrimary vote for the next President, #JoeBiden2020 #Biden2020 #BidenbeatsTrump #BidenBounceback https://t.co/qwC11yOWsq",0.9574748,"Los Angeles, CA",https://pbs.twimg.com/media/ER-86-oVUAAAfkH.jpg
03/01/2020 00:22:10,@marclamonthill Let's  bring it on #SuperTuesday #Kamala comeout for #JoeBiden #CaliforniaPrimary #BidenHarris2020,0.9484582,United States,
03/01/2020 00:18:41,#SouthCarolinaPrimary #SCprimary2020 congratulations #JoeBiden. JB can help #downballot get Dems independents &amp; #nevertrump #gop. Biden can get to work on day 1. Who in #CaliforniaPrimary will endorse Joe to #dumptrump. Sorry but #berniesanders cannot win Nov #ElectoralCollege,0.6394021,,
03/01/2020 00:15:54,"💪🏽✊🏽💪🏽✊🏽💪🏽✊🏽💪🏽✊🏽💪🏽✊🏽

JOE BIDEN WINS SOUTH CAROLINA!

#SouthCarolinaPrimary 
#BuhByeBernie
#SuperTuesday
#CaliforniaPrimary HERE WE COME!

#BidenHarris2020 
#BidenBounceback
#TeamJoe
#ForThePeople
#KamalaHarris⚖️🗽🥇🌟💫 https://t.co/FXMJhS166l https://t.co/5wOqIYILgd",0.95498544,Everywhere And Nowhere,https://pbs.twimg.com/media/ER-5fz5UcAAC4bA.jpg
02/29/2020 23:24:05,"A dream 3.5 years in the making #biden2020 #republicanturneddemocrat #vote2020 #californiaprimary @ Burbank, California https://t.co/4oTaqWKfnA",0.7018794,Beautiful Downtown Burbank,
02/29/2020 22:52:35,"So, #CaliforniaPrimary for #Biden2020",0.47083533,United States,
02/29/2020 18:14:39,#JoeBiden #CaliforniaPrimary #SuperTuesday https://t.co/A8QoevgKdq,0.9406241,USA,
02/29/2020 17:02:36,#SCprimary2020 #SCPrimary #CaliforniaPrimary #TexasPrimary Vote #JoeBiden to stand up and fight for common sense gun legislation. #TeamBiden #JoeMentum https://t.co/ByFfZsH3M4,0.778782,United States,
02/29/2020 15:29:39,My California ballot is filled out and I voted for @JoeBiden. #VoteforJoe #JoeBiden #CaliforniaPrimary #JoeBiden2020 #BidenHarris2020,0.5728926,,
02/29/2020 14:57:46,#CaliforniaPrimary : vote smart and save our democracy. We have to take back the Senate and keep the Pelosi House. Unite with Biden. #Biden2020 https://t.co/XqC84mcMA6,0.9204713,California,https://pbs.twimg.com/ext_tw_video_thumb/1233768262543896578/pu/img/xnQ48aTgzq8hml5y.jpg
02/29/2020 14:56:18,"Records don’t lie. We need a leader with a history of passing common sense, federal gun safety legislation. #TeamJoe #Biden2020 #BidenbeatsTrump #CaliforniaPrimary #BidenbeatsNRA https://t.co/M82BnKlfho",0.80745715,"Los Angeles, CA",https://pbs.twimg.com/media/ER85Z3KVAAABRQu.jpg
02/29/2020 14:53:53,Help Get out the Vote for Joe in California! There are lots of opportunities to volunteer over those next 4 days. #BidenForPresident #Biden2020 #BidenBounceback #BidenbeatsTrump #CaliforniaPrimary https://t.co/ZcxWt6tbYh,0.56031406,"California, USA",
